City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,guerrero negro,27.9769,-114.0611,16.65,79,1,6.08,MX,1713323503
167,sychevka,55.8252,34.2736,5.58,88,100,3.13,RU,1713323503
168,tibu,8.639,-72.7358,25.49,86,97,0.75,CO,1713323503
169,khovd,48.0056,91.6419,13.76,22,100,3.56,MN,1713323255
170,klyuchi,52.2667,79.1667,9.33,52,19,7.77,RU,1713323504
171,port mathurin,-19.6833,63.4167,26.5,77,60,9.04,MU,1713323504
172,port elizabeth,-33.918,25.5701,17.4,97,11,2.93,ZA,1713323255
173,monywa,22.1167,95.1333,36.42,27,5,2.8,MM,1713323504
174,crane,31.3974,-102.3501,23.9,8,100,3.24,US,1713323256
175,bridgewater,44.3835,-64.5155,7.04,73,15,1.89,CA,1713323256
176,papatowai,-46.5619,169.4708,13.55,68,42,6.9,NZ,1713323504
177,atafu village,-8.5421,-172.5159,29.32,72,87,3.42,TK,1713323256
178,somerset east,-32.7217,25.588,17.09,55,11,3.22,ZA,1713323505
179,glencoe,-28.1783,30.147,11.88,92,92,1.27,ZA,1713323505
180,'ain deheb,34.8422,1.547,13.67,50,0,2.92,DZ,1713323505
181,ebon,4.582,168.6964,28.37,79,29,5.09,MH,1713323505
182,ancud,-41.8697,-73.8203,11.19,89,97,1.02,CL,1713323257
183,fortuna,40.5982,-124.1573,10.52,85,20,5.14,US,1713322948
184,yakeshi,49.2833,120.7333,15.98,35,100,2.05,CN,1713323258
185,santa ana,33.7456,-117.8678,22.8,52,20,3.09,US,1713323506
186,igarka,67.4667,86.5833,-0.55,90,100,8.94,RU,1713323506
187,carauari,-4.8828,-66.8958,23.59,99,88,0.51,BR,1713323506
188,tazovsky,67.4667,78.7,-5.71,96,100,4.4,RU,1713323507
189,santa terezinha,-29.9002,-50.0904,21.74,91,100,7.34,BR,1713323259
190,berber,18.0216,33.983,23.81,15,5,2.62,SD,1713323507
191,utrik,11.2278,169.8474,27.31,80,100,8.12,MH,1713323259
192,weno,7.4515,151.8468,31.97,84,75,3.6,FM,1713323507
193,cobram,-35.9167,145.65,21.47,38,8,3.68,AU,1713323507
194,ouani,-12.1322,44.4258,28.19,75,98,2.89,KM,1713323508
195,maqat,47.65,53.3167,15.85,52,100,5.58,KZ,1713323260
196,lihue,21.9789,-159.3672,26.58,64,75,2.57,US,1713323260
